觀測時間(day),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),最大瞬間風風速時間(LST),降水量(mm)
21,990.9,992.8,2022/11/21 9:25:00,989.1,2022/11/21 13:51:00,20,20.5,2022/11/21 10:53:00,19.2,2022/11/21 4:54:00,99,99,2022/11/21 3:41:00,1.5,140,6,93,2022/11/21 3:31:00,9.5
22,988.9,990.8,2022/11/22 0:12:00,987.5,2022/11/22 14:13:00,21.4,25.7,2022/11/22 12:42:00,19.7,2022/11/22 21:51:00,97,75,2022/11/22 15:03:00,0.7,134,7.7,339,2022/11/22 12:30:00,0.5
23,991.4,993.7,2022/11/23 9:48:00,988.1,2022/11/23 1:35:00,18.6,20.9,2022/11/23 2:41:00,17.3,2022/11/23 17:11:00,99,99,2022/11/23 0:51:00,1.2,338,7.7,310,2022/11/23 9:43:00,59
24,992,993.7,2022/11/24 9:33:00,990.6,2022/11/24 14:31:00,18,18.9,2022/11/24 21:13:00,17.1,2022/11/24 11:16:00,99,99,2022/11/24 11:51:00,1,120,11,153,2022/11/24 13:50:00,128.5
25,990.4,993.7,2022/11/25 0:05:00,987.6,2022/11/25 13:51:00,18.8,20.9,2022/11/25 23:42:00,16.9,2022/11/25 22:41:00,99,74,2022/11/25 23:42:00,0.6,169,7.1,168,2022/11/25 23:22:00,57.5
26,990.5,991.9,2022/11/26 8:43:00,987.8,2022/11/26 1:01:00,18.8,22.5,2022/11/26 0:11:00,17.9,2022/11/26 11:42:00,96,58,2022/11/26 0:11:00,1.2,131,11.5,204,2022/11/26 16:25:00,4.5
27,988.9,991,2022/11/27 3:03:00,985.8,2022/11/27 14:11:00,20.7,24.9,2022/11/27 14:52:00,17.7,2022/11/27 6:08:00,92,75,2022/11/27 19:24:00,1.1,42,9.3,178,2022/11/27 7:11:00,3
28,988.5,989.8,2022/11/28 7:43:00,986.5,2022/11/28 14:03:00,21.4,27.1,2022/11/28 11:51:00,18.3,2022/11/28 4:51:00,93,68,2022/11/28 13:23:00,0.6,40,12.1,322,2022/11/28 13:13:00,0
29,989.1,992.4,2022/11/29 22:54:00,986.7,2022/11/29 14:41:00,22.6,26.4,2022/11/29 11:42:00,19.4,2022/11/29 23:54:00,93,74,2022/11/29 13:01:00,0.5,128,6.6,45,2022/11/29 21:45:00,3.5
30,997.3,1000,2022/11/30 9:17:00,991.9,2022/11/30 0:01:00,15.4,19.6,2022/11/30 0:02:00,14,2022/11/30 20:41:00,99,99,2022/11/30 16:11:00,1.4,32,9.3,3,2022/11/30 9:04:00,128
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,996.9,999.2,2022/12/01 8:31:00,995.1,2022/12/01 14:01:00,14.6,15.1,2022/12/01 21:52:00,14.1,2022/12/01 5:43:00,100,99,2022/12/01 14:41:00,1.2,75,9.9,322,2022/12/01 5:49:00,69.5
2,995,998.4,2022/12/02 9:31:00,991.9,2022/12/02 23:53:00,15.8,18.4,2022/12/02 23:53:00,14.2,2022/12/02 6:26:00,99,99,2022/12/02 6:01:00,1.4,134,8.2,317,2022/12/02 5:14:00,69.5
3,991.6,994.1,2022/12/03 8:59:00,989.8,2022/12/03 14:11:00,19,20,2022/12/03 15:21:00,17.8,2022/12/03 9:12:00,99,99,2022/12/03 2:31:00,0.8,29,5.5,335,2022/12/03 6:06:00,22.5
4,993.5,995.7,2022/12/04 9:11:00,990.7,2022/12/04 2:21:00,17.8,19.4,2022/12/04 0:11:00,16.8,2022/12/04 8:51:00,99,99,2022/12/04 6:01:00,0.9,8,7.7,339,2022/12/04 6:39:00,117
5,995.4,997.3,2022/12/05 20:55:00,992.6,2022/12/05 2:41:00,15,17.4,2022/12/05 0:12:00,13.5,2022/12/05 22:32:00,99,99,2022/12/05 4:11:00,1.7,338,9.9,344,2022/12/05 11:24:00,157
6,995.1,997.8,2022/12/06 9:01:00,993.2,2022/12/06 15:31:00,14.6,15.9,2022/12/06 23:58:00,13.5,2022/12/06 0:51:00,95,80,2022/12/06 14:41:00,1.5,128,16,307,2022/12/06 11:50:00,18
7,994.1,995.3,2022/12/07 19:35:00,992.8,2022/12/07 2:01:00,15.8,16.8,2022/12/07 12:27:00,15,2022/12/07 17:46:00,99,99,2022/12/07 3:11:00,1,8,17.1,337,2022/12/07 8:32:00,223.5
8,992.8,995.1,2022/12/08 9:01:00,991,2022/12/08 23:41:00,15.9,17,2022/12/08 21:13:00,14.7,2022/12/08 10:35:00,99,99,2022/12/08 3:01:00,1,3,7.7,44,2022/12/08 4:11:00,61.5
9,989.7,991.3,2022/12/09 0:02:00,987.8,2022/12/09 14:17:00,16.2,17,2022/12/09 10:24:00,15.6,2022/12/09 18:36:00,99,99,2022/12/09 0:21:00,1.2,14,28.6,311,2022/12/09 20:34:00,150
10,988.6,990.3,2022/12/10 23:56:00,986.5,2022/12/10 13:52:00,16.9,17.8,2022/12/10 17:01:00,15.8,2022/12/10 3:51:00,98,87,2022/12/10 22:01:00,1.4,1,18.7,315,2022/12/10 4:22:00,46
11,992.2,994.3,2022/12/11 9:21:00,989.9,2022/12/11 0:01:00,14.1,15.9,2022/12/11 0:05:00,13.1,2022/12/11 19:41:00,99,93,2022/12/11 21:21:00,1.8,19,8.8,46,2022/12/11 10:22:00,107.5
12,993.2,995.2,2022/12/12 21:51:00,991.4,2022/12/12 4:01:00,13.8,14.6,2022/12/12 12:14:00,13.1,2022/12/12 2:44:00,99,84,2022/12/12 1:05:00,1,3,7.1,340,2022/12/12 17:57:00,30.5
13,995.7,998.3,2022/12/13 23:51:00,994,2022/12/13 13:11:00,13,14.6,2022/12/13 0:41:00,11.7,2022/12/13 23:41:00,98,87,2022/12/13 11:34:00,1.3,11,7.7,34,2022/12/13 4:03:00,24
14,998.1,1001.3,2022/12/14 9:02:00,996.3,2022/12/14 15:12:00,12.1,13.1,2022/12/14 15:11:00,11.2,2022/12/14 4:21:00,99,91,2022/12/14 14:27:00,1.7,13,9.3,355,2022/12/14 16:15:00,31
15,994,997.6,2022/12/15 7:11:00,991,2022/12/15 14:51:00,14.1,17.3,2022/12/15 23:44:00,11.3,2022/12/15 4:11:00,99,99,2022/12/15 6:11:00,1.6,124,9.3,337,2022/12/15 3:03:00,71
16,993.1,995.1,2022/12/16 23:31:00,990.8,2022/12/16 2:11:00,16,17,2022/12/16 1:21:00,14.9,2022/12/16 23:59:00,99,99,2022/12/16 8:51:00,1.1,25,7.7,321,2022/12/16 2:08:00,85
17,1000.6,1004.6,2022/12/17 20:51:00,994.3,2022/12/17 0:21:00,10.4,15.1,2022/12/17 0:03:00,8.3,2022/12/17 19:01:00,94,67,2022/12/17 23:53:00,1.9,337,11.5,349,2022/12/17 8:55:00,120
18,1001.8,1004.7,2022/12/18 8:11:00,998.7,2022/12/18 23:43:00,7.4,10.1,2022/12/18 23:51:00,5.3,2022/12/18 7:23:00,63,50,2022/12/18 7:31:00,1.3,347,7.7,28,2022/12/18 7:31:00,0
19,997,999,2022/12/19 7:24:00,995.2,2022/12/19 14:51:00,12.9,15.3,2022/12/19 23:51:00,9.8,2022/12/19 0:01:00,69,59,2022/12/19 10:19:00,1.4,104,7.7,116,2022/12/19 3:15:00,0
20,992.3,995.7,2022/12/20 0:01:00,989.2,2022/12/20 14:15:00,16.8,19.6,2022/12/20 13:23:00,15,2022/12/20 0:34:00,71,59,2022/12/20 13:02:00,2,121,11,122,2022/12/20 13:53:00,0
21,989.4,991.5,2022/12/21 22:02:00,987.5,2022/12/21 4:52:00,12.9,17.6,2022/12/21 1:24:00,8.5,2022/12/21 23:21:00,89,55,2022/12/21 4:52:00,1.2,299,8.2,343,2022/12/21 8:04:00,6.5
22,991.1,993,2022/12/22 21:02:00,989,2022/12/22 13:21:00,11,15.9,2022/12/22 11:41:00,6.8,2022/12/22 21:32:00,60,18,2022/12/22 13:25:00,1.2,297,4.9,36,2022/12/22 10:51:00,0
23,995.5,997.8,2022/12/23 21:31:00,992.5,2022/12/23 4:15:00,9.5,11.8,2022/12/23 2:49:00,6.6,2022/12/23 23:01:00,64,50,2022/12/23 13:07:00,0.8,281,6,47,2022/12/23 8:08:00,0
24,997.8,999.6,2022/12/24 9:02:00,996.4,2022/12/24 0:46:00,8.9,12.3,2022/12/24 12:41:00,6,2022/12/24 21:55:00,59,39,2022/12/24 12:33:00,1,316,6.6,317,2022/12/24 13:15:00,0
25,998.5,1000.9,2022/12/25 9:01:00,997.3,2022/12/25 13:31:00,10,12.4,2022/12/25 12:21:00,6.7,2022/12/25 1:16:00,59,42,2022/12/25 8:35:00,1,17,6.6,15,2022/12/25 12:28:00,0
26,998,999.1,2022/12/26 7:52:00,996.5,2022/12/26 14:41:00,13.2,14.5,2022/12/26 15:41:00,9.3,2022/12/26 4:41:00,68,53,2022/12/26 22:21:00,1,17,6,49,2022/12/26 13:00:00,0
27,998.8,1000.8,2022/12/27 10:01:00,997.4,2022/12/27 14:01:00,13.6,14.4,2022/12/27 0:57:00,12.7,2022/12/27 21:51:00,78,61,2022/12/27 1:32:00,1.2,116,7.7,131,2022/12/27 14:20:00,2.5
28,998.8,1000.9,2022/12/28 21:13:00,996.9,2022/12/28 13:53:00,14.2,15.4,2022/12/28 4:52:00,12.8,2022/12/28 23:21:00,92,81,2022/12/28 9:38:00,1.1,125,9.9,28,2022/12/28 22:14:00,13.5
29,999.4,1000.7,2022/12/29 21:19:00,997.6,2022/12/29 13:32:00,13.8,14.5,2022/12/29 19:12:00,13.2,2022/12/29 1:41:00,99,90,2022/12/29 1:05:00,1.3,112,8.2,21,2022/12/29 1:16:00,42.5
30,1000.3,1001.9,2022/12/30 22:26:00,997.8,2022/12/30 13:51:00,13.1,13.6,2022/12/30 11:36:00,12.5,2022/12/30 22:31:00,100,99,2022/12/30 17:01:00,1.4,17,8.2,31,2022/12/30 0:23:00,92.5
31,1000.5,1002.4,2022/12/31 9:47:00,999.2,2022/12/31 14:41:00,13.3,14.7,2022/12/31 23:58:00,12.5,2022/12/31 3:41:00,99,98,2022/12/31 5:31:00,1.5,123,8.2,127,2022/12/31 16:43:00,43.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,998.7,1000.3,2023/01/01 7:52:00,996.8,2023/01/01 14:32:00,15.6,16.7,2023/01/01 14:52:00,14.4,2023/01/01 1:06:00,99,91,2023/01/01 15:46:00,1.6,129,9.9,95,2023/01/01 6:51:00,25
2,998.8,1000.9,2023/01/02 20:46:00,996.5,2023/01/02 15:01:00,15.1,16.5,2023/01/02 9:12:00,13.2,2023/01/02 23:03:00,100,99,2023/01/02 3:01:00,1.4,77,12.1,33,2023/01/02 13:43:00,41.5
3,1000,1001.9,2023/01/03 21:45:00,998,2023/01/03 4:48:00,12.8,14,2023/01/03 4:21:00,11.4,2023/01/03 21:41:00,100,99,2023/01/03 3:21:00,1.2,44,8.8,69,2023/01/03 15:13:00,29.5
4,999.6,1002.2,2023/01/04 7:42:00,997.9,2023/01/04 15:41:00,13.2,15.9,2023/01/04 23:44:00,11.6,2023/01/04 0:58:00,100,99,2023/01/04 19:41:00,1,113,7.1,108,2023/01/04 17:49:00,27
5,998.1,1000,2023/01/05 8:59:00,996.4,2023/01/05 14:31:00,16.3,17.7,2023/01/05 13:42:00,15.5,2023/01/05 1:01:00,99,99,2023/01/05 10:51:00,1.1,350,8.2,2,2023/01/05 8:36:00,26
6,997.8,999.5,2023/01/06 9:23:00,996.5,2023/01/06 3:41:00,14.9,16.1,2023/01/06 2:01:00,12.1,2023/01/06 22:33:00,98,89,2023/01/06 18:41:00,0.6,3,5.5,339,2023/01/06 6:52:00,31
7,997.5,999,2023/01/07 8:33:00,995.9,2023/01/07 14:52:00,14.7,17.4,2023/01/07 11:15:00,13.5,2023/01/07 5:25:00,69,55,2023/01/07 11:06:00,1.4,113,8.2,128,2023/01/07 21:02:00,0.5
8,995.7,997.5,2023/01/08 8:46:00,994,2023/01/08 14:42:00,16.6,20.7,2023/01/08 13:33:00,14.7,2023/01/08 1:21:00,80,61,2023/01/08 13:22:00,1.1,93,7.7,128,2023/01/08 0:21:00,0
9,994.4,996.2,2023/01/09 22:01:00,992.8,2023/01/09 14:23:00,17.1,21.5,2023/01/09 13:05:00,14.8,2023/01/09 22:21:00,89,64,2023/01/09 13:41:00,0.6,332,3.8,340,2023/01/09 11:02:00,15.5
10,994.3,996.1,2023/01/10 8:45:00,992.1,2023/01/10 13:44:00,15.5,16.6,2023/01/10 14:01:00,13.6,2023/01/10 6:25:00,100,99,2023/01/10 0:21:00,1.2,107,6.6,114,2023/01/10 0:16:00,35.5
11,992.7,995,2023/01/11 9:12:00,990.9,2023/01/11 15:31:00,16.6,18.5,2023/01/11 21:00:00,15.6,2023/01/11 3:31:00,99,88,2023/01/11 23:51:00,1.3,129,6.6,75,2023/01/11 0:13:00,8
12,990.2,992.1,2023/01/12 9:07:00,988.5,2023/01/12 14:41:00,18.8,22,2023/01/12 10:56:00,16,2023/01/12 6:41:00,88,64,2023/01/12 3:01:00,0.7,145,9.3,156,2023/01/12 2:50:00,0
13,987.4,990.3,2023/01/13 9:22:00,985.3,2023/01/13 23:33:00,19.7,24.4,2023/01/13 14:33:00,15.5,2023/01/13 6:18:00,88,66,2023/01/13 14:31:00,0.6,141,3.5,166,2023/01/13 12:52:00,0
14,984.9,988,2023/01/14 23:58:00,982,2023/01/14 15:11:00,20.2,25.8,2023/01/14 12:01:00,16.7,2023/01/14 23:52:00,87,58,2023/01/14 12:01:00,0.6,327,4.9,339,2023/01/14 21:19:00,6
15,992.5,996.7,2023/01/15 21:56:00,987.8,2023/01/15 0:01:00,11.3,16.7,2023/01/15 0:01:00,8.5,2023/01/15 21:41:00,100,99,2023/01/15 18:01:00,1.7,16,11,62,2023/01/15 18:13:00,89
16,997.5,999.6,2023/01/16 8:33:00,995.8,2023/01/16 3:41:00,8.7,10,2023/01/16 23:21:00,7.8,2023/01/16 7:55:00,100,99,2023/01/16 8:21:00,1.6,3,8.2,65,2023/01/16 0:07:00,33
17,997.4,999.2,2023/01/17 21:21:00,995.2,2023/01/17 14:21:00,11.5,12.4,2023/01/17 19:18:00,9.8,2023/01/17 0:31:00,100,99,2023/01/17 16:21:00,0.8,27,6,17,2023/01/17 15:35:00,51.5
18,999.4,1001.7,2023/01/18 8:56:00,997.4,2023/01/18 15:13:00,10.6,11.6,2023/01/18 0:01:00,9.7,2023/01/18 7:48:00,98,87,2023/01/18 20:32:00,1.1,336,6,6,2023/01/18 0:02:00,26
19,997.4,999.2,2023/01/19 6:51:00,995.1,2023/01/19 14:51:00,12.9,14.4,2023/01/19 22:51:00,11.3,2023/01/19 1:12:00,94,83,2023/01/19 6:31:00,0.7,173,6.6,150,2023/01/19 20:31:00,3
20,998.6,1000.4,2023/01/20 8:54:00,996.8,2023/01/20 2:26:00,12.9,14,2023/01/20 0:02:00,12.1,2023/01/20 7:27:00,86,70,2023/01/20 16:45:00,1.3,123,8.2,134,2023/01/20 20:28:00,16
21,994.9,998.7,2023/01/21 0:01:00,990.6,2023/01/21 22:31:00,14.5,18.8,2023/01/21 23:46:00,12.3,2023/01/21 2:21:00,98,73,2023/01/21 23:46:00,1.6,129,7.1,100,2023/01/21 2:34:00,10.5
22,991.3,994,2023/01/22 9:01:00,989.1,2023/01/22 15:11:00,15.7,20.9,2023/01/22 15:30:00,13.3,2023/01/22 4:21:00,95,72,2023/01/22 15:22:00,0.9,331,6.6,334,2023/01/22 8:22:00,0
23,991.1,993.9,2023/01/23 23:52:00,989.2,2023/01/23 13:27:00,15,16.4,2023/01/23 1:33:00,13,2023/01/23 23:52:00,100,99,2023/01/23 4:01:00,0.9,327,9.3,327,2023/01/23 23:43:00,23
24,1001.9,1004.7,2023/01/24 20:15:00,993.6,2023/01/24 0:01:00,7.8,13.1,2023/01/24 0:01:00,5.3,2023/01/24 23:51:00,82,53,2023/01/24 22:59:00,2.5,6,12.1,353,2023/01/24 3:40:00,38
25,999.1,1004.4,2023/01/25 0:02:00,994.2,2023/01/25 23:51:00,8.1,11.3,2023/01/25 23:14:00,5,2023/01/25 1:41:00,78,55,2023/01/25 0:02:00,1.6,120,9.9,114,2023/01/25 6:34:00,0.5
26,993.8,995.4,2023/01/26 0:31:00,991.3,2023/01/26 13:21:00,12.8,17.9,2023/01/26 13:01:00,10.1,2023/01/26 6:31:00,84,55,2023/01/26 13:37:00,0.9,329,5.5,338,2023/01/26 13:50:00,0
27,998.8,1001.7,2023/01/27 19:32:00,994.5,2023/01/27 2:22:00,9.3,12.9,2023/01/27 1:21:00,6.7,2023/01/27 23:51:00,66,43,2023/01/27 23:38:00,1.6,20,8.2,141,2023/01/27 19:22:00,0
28,999.5,1001.5,2023/01/28 9:26:00,997.8,2023/01/28 14:22:00,6.9,8.7,2023/01/28 23:16:00,5.8,2023/01/28 5:21:00,57,45,2023/01/28 0:01:00,1.3,345,7.1,24,2023/01/28 1:56:00,0
29,997.8,999.2,2023/01/29 9:42:00,995.6,2023/01/29 14:52:00,10.1,11.4,2023/01/29 11:53:00,8.1,2023/01/29 0:01:00,69,55,2023/01/29 0:42:00,0.9,111,6.6,33,2023/01/29 6:22:00,0
30,997.6,1000.7,2023/01/30 8:26:00,995.1,2023/01/30 23:49:00,11.3,15,2023/01/30 12:44:00,6.7,2023/01/30 2:02:00,63,39,2023/01/30 9:41:00,1.4,101,7.1,138,2023/01/30 12:53:00,0
31,991.9,995.3,2023/01/31 0:03:00,989,2023/01/31 14:35:00,13.5,20.9,2023/01/31 13:03:00,6.5,2023/01/31 6:32:00,73,27,2023/01/31 10:04:00,1.1,321,6.6,183,2023/01/31 1:03:00,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,991.4,993.2,2023/02/01 23:44:00,989.6,2023/02/01 14:45:00,15.2,21.5,2023/02/01 10:03:00,8,2023/02/01 2:21:00,64,2,2023/02/01 3:11:00,0.9,126,6.6,353,2023/02/01 23:40:00,0
2,995.4,997.5,2023/02/02 9:13:00,993,2023/02/02 0:01:00,13.9,16.2,2023/02/02 0:01:00,12.4,2023/02/02 15:21:00,98,89,2023/02/02 23:17:00,1.2,3,8.2,117,2023/02/02 20:48:00,11.5
3,994.5,996.4,2023/02/03 9:11:00,993.2,2023/02/03 14:21:00,13.8,14.7,2023/02/03 7:52:00,12.9,2023/02/03 19:41:00,95,87,2023/02/03 4:25:00,1.1,158,6,112,2023/02/03 18:14:00,6.5
4,993.6,995.1,2023/02/04 8:22:00,992,2023/02/04 15:01:00,14.2,14.9,2023/02/04 16:54:00,13.1,2023/02/04 5:11:00,99,99,2023/02/04 3:41:00,1.2,111,8.2,112,2023/02/04 21:34:00,34
5,991,993.2,2023/02/05 0:08:00,988.9,2023/02/05 15:12:00,16.4,17.9,2023/02/05 11:51:00,14.8,2023/02/05 0:08:00,99,99,2023/02/05 4:11:00,1,7,7.7,339,2023/02/05 18:17:00,79.5
6,989,991.3,2023/02/06 9:14:00,986.7,2023/02/06 15:12:00,14.9,16.8,2023/02/06 15:12:00,13,2023/02/06 8:22:00,100,99,2023/02/06 15:01:00,1,334,7.1,351,2023/02/06 9:10:00,20
7,991.6,994.2,2023/02/07 21:16:00,988.9,2023/02/07 0:52:00,15.7,17.3,2023/02/07 11:41:00,14.5,2023/02/07 5:01:00,99,99,2023/02/07 3:01:00,0.7,335,4.9,129,2023/02/07 21:26:00,15.5
8,993.3,995.3,2023/02/08 8:45:00,991.9,2023/02/08 14:56:00,15.8,17.5,2023/02/08 23:13:00,14.6,2023/02/08 1:05:00,99,99,2023/02/08 7:31:00,1.3,131,6.6,131,2023/02/08 21:38:00,55
9,991,992.9,2023/02/09 0:01:00,988.6,2023/02/09 15:06:00,16.5,20.4,2023/02/09 11:19:00,13.9,2023/02/09 23:21:00,99,88,2023/02/09 13:51:00,1,151,6.6,341,2023/02/09 10:56:00,6
10,992.2,994.1,2023/02/10 11:02:00,989.9,2023/02/10 2:51:00,14.7,17.1,2023/02/10 4:14:00,13.4,2023/02/10 15:41:00,99,99,2023/02/10 20:41:00,0.8,127,7.1,32,2023/02/10 15:27:00,15.5
11,990.4,992,2023/02/11 0:01:00,989.2,2023/02/11 13:51:00,16.5,21.7,2023/02/11 8:37:00,14.2,2023/02/11 21:11:00,96,71,2023/02/11 8:37:00,1.2,156,8.2,349,2023/02/11 11:12:00,0
12,989.2,991.4,2023/02/12 7:51:00,987,2023/02/12 14:01:00,18.3,25.2,2023/02/12 11:31:00,15.4,2023/02/12 2:51:00,93,58,2023/02/12 11:21:00,1,151,9.3,335,2023/02/12 12:18:00,0
13,989.6,994.1,2023/02/13 22:59:00,987.1,2023/02/13 3:33:00,17.5,26.7,2023/02/13 9:52:00,10.6,2023/02/13 23:54:00,87,44,2023/02/13 9:52:00,1.6,218,11,190,2023/02/13 9:12:00,13
14,996.3,998.4,2023/02/14 9:01:00,993.2,2023/02/14 1:52:00,9.1,10.8,2023/02/14 0:21:00,8.3,2023/02/14 12:52:00,98,83,2023/02/14 23:33:00,1.7,324,9.3,323,2023/02/14 4:59:00,46
15,1000.9,1003,2023/02/15 21:06:00,998,2023/02/15 0:02:00,9.1,10.5,2023/02/15 23:32:00,8,2023/02/15 4:41:00,71,61,2023/02/15 21:31:00,1.6,327,7.7,102,2023/02/15 23:49:00,0
16,1000.5,1003.1,2023/02/16 9:01:00,998.6,2023/02/16 15:31:00,12.4,14.2,2023/02/16 22:12:00,10.1,2023/02/16 0:14:00,69,56,2023/02/16 10:51:00,1.7,102,8.2,45,2023/02/16 1:15:00,0
17,996.2,998.9,2023/02/17 0:03:00,994.3,2023/02/17 15:03:00,15.2,21.2,2023/02/17 12:21:00,10.2,2023/02/17 5:41:00,82,44,2023/02/17 10:11:00,1,329,7.1,342,2023/02/17 14:13:00,0
18,993,995.7,2023/02/18 9:07:00,990.3,2023/02/18 15:06:00,16.5,23.3,2023/02/18 15:41:00,11.7,2023/02/18 6:23:00,88,60,2023/02/18 15:41:00,0.8,318,4.9,123,2023/02/18 12:40:00,0
19,994.7,997.6,2023/02/19 23:13:00,991.5,2023/02/19 3:15:00,13.6,18.1,2023/02/19 1:11:00,11.6,2023/02/19 18:41:00,94,54,2023/02/19 1:11:00,1.2,13,8.8,333,2023/02/19 12:31:00,12.5
20,997.7,999.2,2023/02/20 21:52:00,996.1,2023/02/20 4:01:00,12,13.8,2023/02/20 12:02:00,10.6,2023/02/20 6:23:00,72,57,2023/02/20 21:52:00,1.7,25,9.3,27,2023/02/20 15:46:00,0
21,1000.2,1001.8,2023/02/21 8:42:00,998.4,2023/02/21 3:11:00,11.6,12.8,2023/02/21 1:45:00,9.3,2023/02/21 16:41:00,75,62,2023/02/21 1:45:00,2,32,10.4,93,2023/02/21 9:50:00,0
22,996.7,1000.3,2023/02/22 0:05:00,994.2,2023/02/22 15:48:00,11.5,13.1,2023/02/22 23:11:00,8.8,2023/02/22 4:54:00,99,75,2023/02/22 4:54:00,1.5,8,10.4,7,2023/02/22 7:23:00,13
23,992.6,994.7,2023/02/23 0:02:00,990.8,2023/02/23 15:11:00,13.7,14.9,2023/02/23 12:18:00,12.7,2023/02/23 5:08:00,99,99,2023/02/23 2:11:00,0.7,4,6.6,324,2023/02/23 23:15:00,105
24,995.2,1000.1,2023/02/24 23:54:00,991.2,2023/02/24 2:41:00,12,14.4,2023/02/24 0:02:00,9.4,2023/02/24 19:35:00,100,99,2023/02/24 13:01:00,1.2,9,7.7,327,2023/02/24 1:07:00,75.5
25,1003.7,1007.9,2023/02/25 21:44:00,999.4,2023/02/25 3:11:00,9.3,10.7,2023/02/25 20:05:00,7.6,2023/02/25 17:43:00,98,84,2023/02/25 21:12:00,1.7,14,11,360,2023/02/25 19:41:00,8
26,1006.4,1008.3,2023/02/26 9:51:00,1005,2023/02/26 14:41:00,10.2,11.5,2023/02/26 12:53:00,9.1,2023/02/26 3:01:00,78,58,2023/02/26 23:41:00,1.4,12,8.8,59,2023/02/26 2:29:00,0
27,1002.5,1005.3,2023/02/27 0:01:00,1000.1,2023/02/27 23:42:00,14.5,24.9,2023/02/27 13:15:00,10.5,2023/02/27 1:21:00,71,29,2023/02/27 13:15:00,1.5,108,8.8,114,2023/02/27 23:42:00,1
28,997.1,1000.4,2023/02/28 0:01:00,994.5,2023/02/28 15:31:00,14.6,28.8,2023/02/28 12:33:00,11.9,2023/02/28 4:21:00,79,29,2023/02/28 9:01:00,1.3,100,8.2,114,2023/02/28 0:20:00,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,995.9,999.4,2023/03/01 23:12:00,993.7,2023/03/01 4:13:00,X,25.8,2023/03/01 11:51:00,10.6,2023/03/01 6:01:00,X,33,2023/03/01 10:09:00,1.3,315,8.8,341,2023/03/01 12:56:00,0
2,1001.5,1003.4,2023/03/02 10:04:00,999.1,2023/03/02 0:01:00,X,22.3,2023/03/02 14:51:00,10.6,2023/03/02 19:21:00,X,25,2023/03/02 14:50:00,1.3,6,9.3,22,2023/03/02 12:49:00,0
3,999.7,1002.2,2023/03/03 0:12:00,997.4,2023/03/03 15:13:00,X,17.3,2023/03/03 10:41:00,9.2,2023/03/03 2:43:00,X,46,2023/03/03 10:36:00,0.9,107,7.7,123,2023/03/03 10:44:00,0
4,999.6,1001.5,2023/03/04 21:51:00,998,2023/03/04 3:03:00,X,25.5,2023/03/04 12:31:00,7.8,2023/03/04 23:41:00,X,22,2023/03/04 12:31:00,0.8,44,6.6,48,2023/03/04 13:36:00,0
5,999.1,1000.9,2023/03/05 8:32:00,997,2023/03/05 15:52:00,X,26.9,2023/03/05 15:33:00,7.2,2023/03/05 2:41:00,X,8,2023/03/05 8:53:00,1.1,107,7.1,122,2023/03/05 12:07:00,0
6,997.2,999.5,2023/03/06 9:21:00,995.4,2023/03/06 16:31:00,X,26.3,2023/03/06 13:32:00,7.8,2023/03/06 0:31:00,X,12,2023/03/06 9:41:00,1.4,120,7.7,36,2023/03/06 12:22:00,0
7,995.3,997.2,2023/03/07 7:32:00,993.2,2023/03/07 16:54:00,X,28.8,2023/03/07 14:53:00,8.3,2023/03/07 6:01:00,X,13,2023/03/07 11:25:00,0.8,102,6.6,121,2023/03/07 11:06:00,0
8,993.6,995.6,2023/03/08 7:13:00,992.1,2023/03/08 15:02:00,X,28.9,2023/03/08 14:32:00,9.5,2023/03/08 4:01:00,X,13,2023/03/08 9:31:00,0.8,148,6.6,305,2023/03/08 11:50:00,0
9,992.6,994.2,2023/03/09 21:22:00,990.7,2023/03/09 14:01:00,X,29.7,2023/03/09 14:21:00,11.4,2023/03/09 21:11:00,X,10,2023/03/09 9:41:00,1.4,323,6.6,342,2023/03/09 10:14:00,0
10,993,995.1,2023/03/10 9:23:00,991.2,2023/03/10 14:52:00,X,28.1,2023/03/10 14:22:00,12.7,2023/03/10 4:31:00,X,31,2023/03/10 10:01:00,1.5,116,8.2,150,2023/03/10 10:58:00,0
11,992.7,994.1,2023/03/11 8:17:00,990.9,2023/03/11 14:21:00,X,31.9,2023/03/11 15:01:00,12.6,2023/03/11 23:53:00,X,13,2023/03/11 11:51:00,1.1,98,8.8,81,2023/03/11 12:48:00,0
12,994.4,1001.2,2023/03/12 22:22:00,990.7,2023/03/12 4:31:00,X,30.6,2023/03/12 13:21:00,8.8,2023/03/12 23:37:00,X,14,2023/03/12 9:01:00,1.5,339,9.3,49,2023/03/12 17:34:00,27
